path,origin,copyright_holder,license,redistribution_status,included_in_public_package,reason
.gitattributes,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
.github/workflows/bryson-v4-corrected-pilot.yml,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
.github/workflows/bryson-v4-corrected-production.yml,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
.github/workflows/bryson-v4-corrected-zero-extended.yml,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
.github/workflows/bryson-v4-measurement-tests.yml,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
.github/workflows/bryson-v4-propagate-constant.yml,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
.github/workflows/jj-g-host-export.yml,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
.github/workflows/jj-tams-metallicity-differential.yml,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
.github/workflows/jj-tams-radial-convergence.yml,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
.github/workflows/verify.yml,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
.gitignore,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
AUTHORSHIP_AND_LICENSING_DECLARATION.md,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
CITATION.cff,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
LICENSE,Repository mixed-license notice by Roman Jerše,Roman Jerše,LicenseRef-Mixed-Repository-Notice,CLEAR,yes,"Explains that exact path rows, not a blanket license, govern the collection."
LICENSES/GPL-2.0-only.txt,Verbatim upstream GNU GPL version 2 license text,"Free Software Foundation, Inc.",GPL-2.0-only,CLEAR_WITH_NOTICE,yes,Required license text for the GPL-covered derivative component.
LICENSES/MIT-Daniel-Huber-evolstate.txt,danxhuber/evolstate@5e904afad81805c4e3ac4c3f78510a2a1df33d14,Daniel Huber,MIT,CLEAR_WITH_NOTICE,yes,Required notice for the redistributed PARSEC-TAMS table.
LICENSES/MIT-Roman-Jerse.txt,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
LICENSES/MIT-jjmodel.txt,askenja/jjmodel@2828a2e8bfc379ba9c8ef4b4d0477ab5febe3b54,Dr. Kseniia Sysoliatina,MIT,CLEAR_WITH_NOTICE,yes,Reference notice for the pinned fetch-only JJModel dependency.
LICENSES/README.md,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
LICENSE_POLICY.md,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
MANIFEST.sha256,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
Makefile,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
README.md,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
REPRODUCIBILITY.md,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
THIRD_PARTY_NOTICES.md,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
provenance/AUTHORSHIP_LICENSE_AUDIT_20260823.json,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
provenance/AUTHORSHIP_LICENSE_AUDIT_20260823.md,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
provenance/DATA_LOCKS.json,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
provenance/EXTRACTION_AUDIT.json,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
